from,to,relation,member,time,money
maa,sckb,NA,1,NA,NA
ana,sckb,NA,1,NA,NA
kvpm,sckb,NA,1,NA,NA
snzd,sckb,NA,1,NA,NA
jfmr,sckb,NA,1,NA,NA
bt,sckb,NA,1,NA,NA
lk,sckb,NA,1,NA,NA
pls,moa,5,1,NA,NA
pls,neim,3,2,NA,NA
neim,ane,6,2,NA,NA
pls,kvpm,3,1,NA,NA
neim,kvpm,3,1,NA,NA
voku,kvpm,3,1,NA,NA
thr,kvpm,3,1,NA,NA
thr,voku,2,1,NA,NA
anq,kvpm,7,1,NA,NA
scient,heiv,3,1,NA,NA
snzd,robo,1,1,NA,NA
scient,heno,3,1,NA,NA
heiv,wehoim,6,1,NA,NA
sckb,utei,7,1,NA,NA
utei,heiv,3,1,NA,NA
presckb,utei,1,1,NA,NA
sckb,presckb,3,1,NA,NA
presckb,arpre,3,2,NA,NA
wehoim,masc,6,2,NA,NA
wehoim,stkc,6,2,NA,NA
wehoim,cohu,6,2,NA,NA
wehoim,chj,6,2,NA,NA
masc,heiv,7,1,NA,NA
stkc,heiv,7,1,NA,NA
cohu,heiv,7,1,NA,NA
chj,heiv,7,1,NA,NA
arpre,tomba,3,2,NA,NA
alfi,scient,NA,1,NA,1
baebr,sahive,1,NA,NA,NA
sahi,seao,7,1,NA,NA
kede,sahive,3,NA,NA,NA
baebr,scient,NA,1,NA,NA
mihi,scient,NA,1,NA,NA
mihi,sahi,2,NA,NA,NA
mewibe,mihi,1,NA,NA,NA
mewibe,kede,3,NA,NA,NA
mewibe,sahive,3,NA,NA,NA
sashi,jfmr,3,1,NA,NA
sashi,mihi,2,NA,NA,NA
sashi,sahi,2,NA,NA,NA
sadi,seao,3,1,NA,NA
sadi,cadoim,1,NA,NA,NA
tada,sadi,2,NA,NA,NA
tada,cadoim,1,NA,3,NA
tada,seao,3,1,NA,NA
beco,seao,3,1,NA,NA
beco,cadoim,7,NA,NA,NA
thdo,cadoim,1,NA,NA,NA
thdo,seao,3,1,NA,NA
rg,dg,2,NA,NA,NA
rg,nmk,1,NA,1,NA
dg,nmk,7,NA,1,NA
