from;to;relation;member;time;money;;
cohu;heiv;7;1;;;;
chj;heiv;7;1;;;;
arpre;tomba;3;2;;;;
alfi;scient;;1;;1;;
baebr;sahive;1;;;;;
sahi;seao;7;1;;;;
kede;sahive;3;;;;;
baebr;scient;;1;;;;
mihi;scient;;1;;;;
mihi;sahi;2;;;;;
mewibe;mihi;1;;;;;
mewibe;kede;3;;;;;
mewibe;sahive;3;;;;;
sashi;jfmr;3;1;;;;
sashi;mihi;2;;;;;
sashi;sahi;2;;;;;
sadi;seao;3;1;;;;
sadi;cadoim;1;;;;;
tada;sadi;2;;;;;
tada;cadoim;1;;3;;;
tada;seao;3;1;;;;
beco;seao;3;1;;;;
beco;cadoim;7;;;;;
thdo;cadoim;1;;;;;
thdo;seao;3;1;;;;
rg;dg;2;;;;;
rg;nmk;1;;1;;;
dg;nmk;7;;1;;;
nmk;bost;;;1;;;
nmk;ekm;;;1;;;
nmk;tgw;;;1;;;
nmk;tsm;;;1;;;
nmk;mram;;;1;;;
nmk;vmram;;;1;;;
nmk;bius;;;1;;;
nmk;ihed;;;1;;;
rg;gwp;1;;;;;
ccd;scient;;1;;;;
sccm;scient;;1;;;;
alfiinsta;alfi;1;;;;;
sckb;scient;;1;;;;
sckbw;scient;;1;;;;
sckbe;scient;;1;;;;
sckhh;scient;;1;;;;
sckhe;scient;;1;;;;
scknw;scient;;1;;;;
prt;ztp;1;2;;;;
svt;ztp;1;2;;;;
ztp;wise;;;;;;
cadoim;wise;;;;;;
guw;seao;;1;;;;
cah;seao;;2;;;;
guw;wai;7;;;;;
cah;wai;7;;;;;
irtt;agi;1;2;;;;
pet;agi;1;2;;;;
pet;seao;;;;;;
irtt;seao;;;;;;
fs;nmk;7;;;;;
fs;susi;1;;;;;
ml;hl;2;;;;;
ml;nmk;7;;;;;
hl;nmk;7;;;;;
ml;sckbw;;1;;;;
hl;sckbw;;1;;;;
fs;sckbw;;2;;;;
ub;hb;2;;;;;
ub;nmk;7;;;;;
hb;kug;1;;;;;
rg;scient;;2;;;;
dg;scient;;2;;;;
jl;nmk;7;;;;;
jl;apvm;1;;;;;
aw;nmk;7;;;;;
aw;td;7;;;;;
aw;md;7;;;;;
md;trb;1;;;;;
as;nmk;7;;;;;
hk;nmk;7;;;;;
hk;kks;1;;;;;
ub;scient;;2;;1;;
hb;scient;;2;;1;;
hk;sckbw;7;;;;;
seao;scient;;1;;;;
gs;hlu;1;;;;;
gs;tge;1;;;;;
ncm;bt;3;;;;;
jh;jfmr;1;1;;;;
jh;snzd;7;1;;;;
mg;bgb;1;;;;;
gs;aa;1;;;;;
scient;wise;;1;;;;
scient;kvpm;;1;;;;
scient;able;;1;;;;
scient;snzd;;1;;;;
scient;jfmr;;1;;;;
scient;dezg;;1;;;;
scient;nepi;;1;;;;
scient;ncn;;1;;;;
scient;snzd;;1;;;;
scient;jfmr;;1;;;;
scient;zbw;;1;;;;
sahive;scient;3;;;;;
kede;scient;3;;;;;
td;md;2;;;;;
heka;seao;7;1;;;;
heka;sckbw;7;1;;;;
nmk;wise;;;;;;
heka;nmk;7;;;;;
em;scient;3;;;;;
kf;scient;;1;;;;
dsa;scient;7;1;;;;
rd;scient;3;1;;;;
rd;rda;1;;;;;
gh;rd;7;;;;;
gs;scient;;1;;;;
cr;scient;;1;;;;
gha;scient;3;1;;1;;
gha;wise;;1;;;;
spr;scient;;1;;;;
fr;scient;;1;;;;
rs;sckb;;1;;;;
hs;sckb;7;2;;;;
rk;sckb;7;2;;;;
ea;dezg;7;2;;;;
mg;liz;1;;;;;
mg;sckb;3;;;;;
as;scient;3;1;;1;;
herbm;susam;2;;;;;
herbm;scient;3;1;4;1;;
susam;scient;3;1;4;1;;
plabu;herbm;1;;;;;
franmo;susam;2;;;;;
franmo;herbm;2;;;;;
franmo;plabu;1;;;;;
raimar;plabu;1;;;;;
raimar;susam;2;;;;;
raimar;franmo;2;;;;;
raimar;herbm;2;;;;;
phmar;plabu;1;;;;;
phmar;franmo;2;;;;;
phmar;herbm;2;;;;;
phmar;susam;2;;;;;
adre;ccd;1;1;;1;;
adre;koim;6;1;;;;
adre;scient;3;1;3;1;;
gl;mal;2;;;;;
gl;js;2;;;;;
gl;ml;2;;;;;
sil;scient;3;1;4;1;;
dennr;scient;3;1;4;1;;
sil;ibh;1;;;;;
gl;hl;2;;;;;
gl;al;2;;;;;
mal;scient;3;1;;1;;
js;scient;3;1;;1;;
ml;scient;3;1;;1;;
al;scient;3;1;;1;;
marb;sbe;2;;;;;
marb;gbe;2;;;;;
marb;obe;2;;;;;
sbe;gbe;2;;;;;
sbe;obe;2;;;;;
gbe;obe;2;;;;;
marb;scient;3;1;;1;;
hl;scient;3;1;;1;;
gl;scient;3;1;;1;;
sbe;scient;3;1;;1;;
dennr;ibh;7;;;;;
sil;dennr;2;;;;;
herbm;heger;1;;;;;
gbe;scient;3;1;;1;;
